            IoIT   EoA   EoI   IMG   PEOU   VIS   VOI   PUA   SQR     SR    LS   PPC    PS   PUI   TKR   WEI
SR.SR4     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.883 0.000 0.000 0.000 0.000 0.000 0.000
LS.LS1     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.728 0.000 0.000 0.000 0.000 0.000
LS.LS2     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.703 0.000 0.000 0.000 0.000 0.000
LS.LS3     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.755 0.000 0.000 0.000 0.000 0.000
LS.LS4     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.786 0.000 0.000 0.000 0.000 0.000
LS.LS5     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.779 0.000 0.000 0.000 0.000 0.000
LS.LS6     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.790 0.000 0.000 0.000 0.000 0.000
LS.LS7     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.713 0.000 0.000 0.000 0.000 0.000
LS.LS8     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.801 0.000 0.000 0.000 0.000 0.000
PPC.PPC1   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.772 0.000 0.000 0.000 0.000
PPC.PPC2   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.722 0.000 0.000 0.000 0.000
PPC.PPC3   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.759 0.000 0.000 0.000 0.000
PPC.PPC4   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.792 0.000 0.000 0.000 0.000
PPC.PPC5   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.742 0.000 0.000 0.000 0.000
PPC.PPC6   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.785 0.000 0.000 0.000 0.000
PS.PS1     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.813 0.000 0.000 0.000
PS.PS2     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.810 0.000 0.000 0.000
PS.PS3     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.811 0.000 0.000 0.000
PS.PS4     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.774 0.000 0.000 0.000
PS.PS5     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.793 0.000 0.000 0.000
PS.PS6     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.778 0.000 0.000 0.000
PS.PS7     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.803 0.000 0.000 0.000
