                         vars   n     mean       sd   median  trimmed      mad      min      max    range  skew kurtosis       se
PEOU.PEOU2               |                   PS.PS2 |  0.45 | [ 0.37,  0.52] | 10.99 | 477 | < .001***
PEOU.PEOU2               |                   PS.PS3 |  0.43 | [ 0.35,  0.50] | 10.35 | 477 | < .001***
PEOU.PEOU2               |                   PS.PS4 |  0.45 | [ 0.37,  0.51] | 10.88 | 477 | < .001***
PEOU.PEOU2               |                   PS.PS5 |  0.44 | [ 0.36,  0.51] | 10.59 | 477 | < .001***
PEOU.PEOU2               |                   PS.PS6 |  0.47 | [ 0.40,  0.54] | 11.62 | 477 | < .001***
PEOU.PEOU2               |                   PS.PS7 |  0.40 | [ 0.33,  0.48] |  9.65 | 477 | < .001***
PEOU.PEOU2               |                   PS.PS8 |  0.46 | [ 0.39,  0.53] | 11.31 | 477 | < .001***
PEOU.PEOU2               |                   PS.PS9 |  0.49 | [ 0.42,  0.55] | 12.25 | 477 | < .001***
PEOU.PEOU2               |                  PS.PS10 |  0.41 | [ 0.33,  0.48] |  9.83 | 477 | < .001***
PEOU.PEOU2               |                  PS.PS11 |  0.42 | [ 0.34,  0.49] | 10.04 | 477 | < .001***
PEOU.PEOU2               |                 PUI.PUI1 |  0.50 | [ 0.43,  0.56] | 12.58 | 477 | < .001***
PEOU.PEOU2               |                 PUI.PUI2 |  0.49 | [ 0.42,  0.56] | 12.35 | 477 | < .001***
PEOU.PEOU2               |                 PUI.PUI3 |  0.46 | [ 0.39,  0.53] | 11.29 | 477 | < .001***
PEOU.PEOU2               |                 PUI.PUI4 |  0.49 | [ 0.42,  0.56] | 12.38 | 477 | < .001***
PEOU.PEOU2               |                 PUI.PUI5 |  0.45 | [ 0.38,  0.52] | 11.00 | 477 | < .001***
PEOU.PEOU2               |                 PUI.PUI6 |  0.27 | [ 0.19,  0.36] |  6.24 | 477 | < .001***
PEOU.PEOU2               |                 PUI.PUI7 |  0.44 | [ 0.37,  0.51] | 10.76 | 477 | < .001***
PEOU.PEOU2               |                 PUI.PUI8 |  0.49 | [ 0.42,  0.56] | 12.28 | 477 | < .001***
PEOU.PEOU2               |                 TKR.TKR3 |  0.28 | [ 0.20,  0.36] |  6.48 | 477 | < .001***
PEOU.PEOU2               |                 WEI.WEI1 |  0.39 | [ 0.32,  0.47] |  9.38 | 477 | < .001***
PEOU.PEOU2               |                 WEI.WEI2 |  0.45 | [ 0.37,  0.52] | 10.96 | 477 | < .001***
PEOU.PEOU2               |                 WEI.WEI3 |  0.39 | [ 0.31,  0.46] |  9.26 | 477 | < .001***
PEOU.PEOU2               |                 WEI.WEI4 |  0.42 | [ 0.34,  0.49] | 10.01 | 477 | < .001***
PEOU.PEOU2               |                 WEI.WEI5 |  0.37 | [ 0.29,  0.44] |  8.68 | 477 | < .001***
PEOU.PEOU2               |                 WEI.WEI6 |  0.38 | [ 0.31,  0.46] |  9.11 | 477 | < .001***
PEOU.PEOU2               |                 WEI.WEI7 |  0.41 | [ 0.33,  0.48] |  9.77 | 477 | < .001***
PEOU.PEOU2               |                 WEI.WEI8 |  0.41 | [ 0.34,  0.49] |  9.94 | 477 | < .001***
PEOU.PEOU2               |       PERCEPTION.PROJPOS |  0.25 | [ 0.16,  0.33] |  5.63 | 476 | < .001***
PEOU.PEOU2               |         PERCEPTION.DTPOS |  0.26 | [ 0.17,  0.34] |  5.76 | 475 | < .001***
PEOU.PEOU2               |            WORKPACE.SQ01 |  0.25 | [ 0.17,  0.34] |  5.74 | 475 | < .001***
PEOU.PEOU2               |                 AUTONOMY |  0.26 | [ 0.18,  0.35] |  5.99 | 475 | < .001***
PEOU.PEOU3               |               PEOU.PEOU4 |  0.62 | [ 0.56,  0.67] | 17.14 | 477 | < .001***
PEOU.PEOU3               |               PEOU.PEOU5 |  0.51 | [ 0.44,  0.57] | 13.01 | 477 | < .001***
PEOU.PEOU3               |               PEOU.PEOU6 |  0.59 | [ 0.53,  0.65] | 16.11 | 477 | < .001***
PEOU.PEOU3               |                 VIS.VIS1 |  0.34 | [ 0.26,  0.41] |  7.83 | 477 | < .001***
PEOU.PEOU3               |                 VIS.VIS2 |  0.35 | [ 0.27,  0.43] |  8.29 | 477 | < .001***
PEOU.PEOU3               |                 VIS.VIS3 |  0.36 | [ 0.28,  0.44] |  8.45 | 477 | < .001***
PEOU.PEOU3               |                 VOI.VOI4 |  0.31 | [ 0.23,  0.39] |  7.24 | 477 | < .001***
PEOU.PEOU3               |                 PUA.PUA1 |  0.48 | [ 0.40,  0.54] | 11.86 | 477 | < .001***
PEOU.PEOU3               |                 PUA.PUA2 |  0.43 | [ 0.35,  0.50] | 10.30 | 477 | < .001***
PEOU.PEOU3               |                 PUA.PUA3 |  0.47 | [ 0.40,  0.54] | 11.60 | 477 | < .001***
PEOU.PEOU3               |                 PUA.PUA4 |  0.49 | [ 0.42,  0.56] | 12.40 | 477 | < .001***
PEOU.PEOU3               |                 PUA.PUA5 |  0.48 | [ 0.41,  0.54] | 11.88 | 477 | < .001***
PEOU.PEOU3               |                 PUA.PUA6 |  0.36 | [ 0.28,  0.43] |  8.35 | 477 | < .001***
PEOU.PEOU3               |                 PUA.PUA7 |  0.47 | [ 0.40,  0.54] | 11.57 | 477 | < .001***
PEOU.PEOU3               |                 PUA.PUA8 |  0.52 | [ 0.45,  0.58] | 13.38 | 477 | < .001***
PEOU.PEOU3               |                 RES.RES1 |  0.36 | [ 0.28,  0.44] |  8.50 | 477 | < .001***
PEOU.PEOU3               |                 RES.RES2 |  0.39 | [ 0.31,  0.47] |  9.30 | 477 | < .001***
PEOU.PEOU3               |                 RES.RES3 |  0.38 | [ 0.30,  0.45] |  8.97 | 477 | < .001***
PEOU.PEOU3               |                 SQR.SQR1 |  0.29 | [ 0.21,  0.37] |  6.67 | 477 | < .001***
PEOU.PEOU3               |                 SQR.SQR2 |  0.26 | [ 0.18,  0.35] |  5.97 | 477 | < .001***
PEOU.PEOU3               |                 SQR.SQR4 |  0.21 | [ 0.12,  0.29] |  4.58 | 477 | 0.035*   
PEOU.PEOU3               |                   LS.LS1 |  0.48 | [ 0.40,  0.54] | 11.82 | 477 | < .001***
PEOU.PEOU3               |                   LS.LS2 |  0.34 | [ 0.25,  0.41] |  7.81 | 477 | < .001***
PEOU.PEOU3               |                   LS.LS3 |  0.28 | [ 0.20,  0.36] |  6.47 | 477 | < .001***
PEOU.PEOU3               |                   LS.LS4 |  0.38 | [ 0.30,  0.46] |  9.03 | 477 | < .001***
PEOU.PEOU3               |                   LS.LS5 |  0.41 | [ 0.33,  0.48] |  9.73 | 477 | < .001***
PEOU.PEOU3               |                   LS.LS6 |  0.45 | [ 0.38,  0.52] | 11.11 | 477 | < .001***
PEOU.PEOU3               |                   LS.LS7 |  0.34 | [ 0.26,  0.41] |  7.83 | 477 | < .001***
PEOU.PEOU3               |                   LS.LS8 |  0.39 | [ 0.31,  0.46] |  9.15 | 477 | < .001***
PEOU.PEOU3               |                 PPC.PPC1 |  0.51 | [ 0.44,  0.57] | 13.00 | 477 | < .001***
PEOU.PEOU3               |                 PPC.PPC2 |  0.42 | [ 0.34,  0.49] |  9.98 | 477 | < .001***
PEOU.PEOU3               |                 PPC.PPC3 |  0.42 | [ 0.34,  0.49] | 10.05 | 477 | < .001***
PEOU.PEOU3               |                 PPC.PPC4 |  0.43 | [ 0.36,  0.50] | 10.48 | 477 | < .001***
PEOU.PEOU3               |                 PPC.PPC5 |  0.36 | [ 0.28,  0.43] |  8.35 | 477 | < .001***
PEOU.PEOU3               |                 PPC.PPC6 |  0.39 | [ 0.31,  0.46] |  9.28 | 477 | < .001***
PEOU.PEOU3               |                   PS.PS1 |  0.49 | [ 0.41,  0.55] | 12.14 | 477 | < .001***
PEOU.PEOU3               |                   PS.PS2 |  0.48 | [ 0.41,  0.55] | 12.09 | 477 | < .001***
PEOU.PEOU3               |                   PS.PS3 |  0.47 | [ 0.40,  0.54] | 11.77 | 477 | < .001***
PEOU.PEOU3               |                   PS.PS4 |  0.46 | [ 0.38,  0.52] | 11.21 | 477 | < .001***
PEOU.PEOU3               |                   PS.PS5 |  0.41 | [ 0.34,  0.48] |  9.91 | 477 | < .001***
PEOU.PEOU3               |                   PS.PS6 |  0.46 | [ 0.39,  0.53] | 11.32 | 477 | < .001***
PEOU.PEOU3               |                   PS.PS7 |  0.47 | [ 0.39,  0.53] | 11.53 | 477 | < .001***
PEOU.PEOU3               |                   PS.PS8 |  0.44 | [ 0.36,  0.51] | 10.67 | 477 | < .001***
PEOU.PEOU3               |                   PS.PS9 |  0.45 | [ 0.37,  0.51] | 10.86 | 477 | < .001***
PEOU.PEOU3               |                  PS.PS10 |  0.50 | [ 0.43,  0.57] | 12.72 | 477 | < .001***
PEOU.PEOU3               |                  PS.PS11 |  0.48 | [ 0.41,  0.55] | 12.09 | 477 | < .001***
PEOU.PEOU3               |                 PUI.PUI1 |  0.50 | [ 0.42,  0.56] | 12.46 | 477 | < .001***
PEOU.PEOU3               |                 PUI.PUI2 |  0.46 | [ 0.39,  0.53] | 11.35 | 477 | < .001***
PEOU.PEOU3               |                 PUI.PUI3 |  0.46 | [ 0.38,  0.53] | 11.24 | 477 | < .001***
PEOU.PEOU3               |                 PUI.PUI4 |  0.49 | [ 0.42,  0.56] | 12.31 | 477 | < .001***
PEOU.PEOU3               |                 PUI.PUI5 |  0.48 | [ 0.41,  0.55] | 11.91 | 477 | < .001***
PEOU.PEOU3               |                 PUI.PUI6 |  0.27 | [ 0.19,  0.35] |  6.13 | 477 | < .001***
PEOU.PEOU3               |                 PUI.PUI7 |  0.46 | [ 0.38,  0.53] | 11.26 | 477 | < .001***
PEOU.PEOU3               |                 PUI.PUI8 |  0.42 | [ 0.35,  0.49] | 10.17 | 477 | < .001***
PEOU.PEOU3               |                 TKR.TKR1 |  0.25 | [ 0.17,  0.33] |  5.69 | 477 | < .001***
PEOU.PEOU3               |                 TKR.TKR2 |  0.27 | [ 0.18,  0.35] |  6.03 | 477 | < .001***
PEOU.PEOU3               |                 TKR.TKR3 |  0.32 | [ 0.24,  0.40] |  7.36 | 477 | < .001***
PEOU.PEOU3               |                 TKR.TKR4 |  0.29 | [ 0.20,  0.37] |  6.54 | 477 | < .001***
PEOU.PEOU3               |                 WEI.WEI1 |  0.41 | [ 0.33,  0.48] |  9.86 | 477 | < .001***
PEOU.PEOU3               |                 WEI.WEI2 |  0.46 | [ 0.39,  0.53] | 11.29 | 477 | < .001***
PEOU.PEOU3               |                 WEI.WEI3 |  0.42 | [ 0.35,  0.49] | 10.20 | 477 | < .001***
PEOU.PEOU3               |                 WEI.WEI4 |  0.40 | [ 0.32,  0.47] |  9.47 | 477 | < .001***
PEOU.PEOU3               |                 WEI.WEI5 |  0.40 | [ 0.32,  0.47] |  9.53 | 477 | < .001***
PEOU.PEOU3               |                 WEI.WEI6 |  0.42 | [ 0.35,  0.49] | 10.17 | 477 | < .001***
PEOU.PEOU3               |                 WEI.WEI7 |  0.46 | [ 0.39,  0.53] | 11.41 | 477 | < .001***
PEOU.PEOU3               |                 WEI.WEI8 |  0.40 | [ 0.33,  0.48] |  9.67 | 477 | < .001***
PEOU.PEOU3               |       PERCEPTION.PROJPOS |  0.22 | [ 0.13,  0.30] |  4.84 | 476 | 0.010*   
PEOU.PEOU3               |         PERCEPTION.DTPOS |  0.20 | [ 0.12,  0.29] |  4.53 | 475 | 0.042*   
PEOU.PEOU3               |            WORKPACE.SQ01 |  0.24 | [ 0.16,  0.33] |  5.45 | 475 | < .001***
PEOU.PEOU4               |               PEOU.PEOU5 |  0.55 | [ 0.48,  0.61] | 14.38 | 477 | < .001***
PEOU.PEOU4               |               PEOU.PEOU6 |  0.59 | [ 0.53,  0.64] | 15.85 | 477 | < .001***
PEOU.PEOU4               |                 VIS.VIS1 |  0.32 | [ 0.24,  0.40] |  7.48 | 477 | < .001***
PEOU.PEOU4               |                 VIS.VIS2 |  0.32 | [ 0.23,  0.39] |  7.25 | 477 | < .001***
PEOU.PEOU4               |                 VIS.VIS3 |  0.30 | [ 0.22,  0.38] |  6.92 | 477 | < .001***
PEOU.PEOU4               |                 VOI.VOI4 |  0.33 | [ 0.25,  0.41] |  7.65 | 477 | < .001***
PEOU.PEOU4               |                 PUA.PUA1 |  0.40 | [ 0.32,  0.47] |  9.57 | 477 | < .001***
PEOU.PEOU4               |                 PUA.PUA2 |  0.42 | [ 0.34,  0.49] | 10.11 | 477 | < .001***
PEOU.PEOU4               |                 PUA.PUA3 |  0.44 | [ 0.36,  0.51] | 10.69 | 477 | < .001***
PEOU.PEOU4               |                 PUA.PUA4 |  0.44 | [ 0.37,  0.51] | 10.83 | 477 | < .001***
PEOU.PEOU4               |                 PUA.PUA5 |  0.41 | [ 0.33,  0.48] |  9.71 | 477 | < .001***
PEOU.PEOU4               |                 PUA.PUA6 |  0.34 | [ 0.26,  0.42] |  7.92 | 477 | < .001***
PEOU.PEOU4               |                 PUA.PUA7 |  0.41 | [ 0.33,  0.48] |  9.72 | 477 | < .001***
PEOU.PEOU4               |                 PUA.PUA8 |  0.46 | [ 0.38,  0.52] | 11.16 | 477 | < .001***
PEOU.PEOU4               |                 RES.RES1 |  0.40 | [ 0.32,  0.47] |  9.45 | 477 | < .001***
PEOU.PEOU4               |                 RES.RES2 |  0.40 | [ 0.32,  0.47] |  9.45 | 477 | < .001***
PEOU.PEOU4               |                 RES.RES3 |  0.42 | [ 0.35,  0.49] | 10.18 | 477 | < .001***
PEOU.PEOU4               |                 SQR.SQR1 |  0.25 | [ 0.16,  0.33] |  5.57 | 477 | < .001***
PEOU.PEOU4               |                 SQR.SQR2 |  0.23 | [ 0.14,  0.31] |  5.06 | 477 | 0.004**  
PEOU.PEOU4               |                   LS.LS1 |  0.40 | [ 0.32,  0.47] |  9.39 | 477 | < .001***
PEOU.PEOU4               |                   LS.LS2 |  0.32 | [ 0.23,  0.39] |  7.27 | 477 | < .001***
PEOU.PEOU4               |                   LS.LS3 |  0.30 | [ 0.22,  0.38] |  6.90 | 477 | < .001***
PEOU.PEOU4               |                   LS.LS4 |  0.39 | [ 0.31,  0.46] |  9.29 | 477 | < .001***
PEOU.PEOU4               |                   LS.LS5 |  0.44 | [ 0.36,  0.51] | 10.57 | 477 | < .001***
PEOU.PEOU4               |                   LS.LS6 |  0.39 | [ 0.31,  0.46] |  9.14 | 477 | < .001***
PEOU.PEOU4               |                   LS.LS7 |  0.39 | [ 0.31,  0.46] |  9.18 | 477 | < .001***
PEOU.PEOU4               |                   LS.LS8 |  0.41 | [ 0.33,  0.48] |  9.83 | 477 | < .001***
PEOU.PEOU4               |                 PPC.PPC1 |  0.39 | [ 0.31,  0.47] |  9.30 | 477 | < .001***
PEOU.PEOU4               |                 PPC.PPC2 |  0.40 | [ 0.33,  0.48] |  9.62 | 477 | < .001***
PEOU.PEOU4               |                 PPC.PPC3 |  0.36 | [ 0.28,  0.44] |  8.55 | 477 | < .001***
PEOU.PEOU4               |                 PPC.PPC4 |  0.40 | [ 0.32,  0.47] |  9.39 | 477 | < .001***
PEOU.PEOU4               |                 PPC.PPC5 |  0.36 | [ 0.28,  0.44] |  8.45 | 477 | < .001***
PEOU.PEOU4               |                 PPC.PPC6 |  0.41 | [ 0.33,  0.48] |  9.70 | 477 | < .001***
PEOU.PEOU4               |                   PS.PS1 |  0.40 | [ 0.33,  0.48] |  9.61 | 477 | < .001***
PEOU.PEOU4               |                   PS.PS2 |  0.39 | [ 0.31,  0.46] |  9.25 | 477 | < .001***
PEOU.PEOU4               |                   PS.PS3 |  0.40 | [ 0.32,  0.47] |  9.45 | 477 | < .001***
PEOU.PEOU4               |                   PS.PS4 |  0.39 | [ 0.32,  0.47] |  9.37 | 477 | < .001***
PEOU.PEOU4               |                   PS.PS5 |  0.41 | [ 0.33,  0.48] |  9.74 | 477 | < .001***
PEOU.PEOU4               |                   PS.PS6 |  0.42 | [ 0.34,  0.49] | 10.06 | 477 | < .001***
PEOU.PEOU4               |                   PS.PS7 |  0.40 | [ 0.32,  0.47] |  9.49 | 477 | < .001***
PEOU.PEOU4               |                   PS.PS8 |  0.42 | [ 0.34,  0.49] | 10.00 | 477 | < .001***
PEOU.PEOU4               |                   PS.PS9 |  0.46 | [ 0.39,  0.53] | 11.29 | 477 | < .001***
PEOU.PEOU4               |                  PS.PS10 |  0.41 | [ 0.33,  0.48] |  9.87 | 477 | < .001***
PEOU.PEOU4               |                  PS.PS11 |  0.44 | [ 0.37,  0.51] | 10.85 | 477 | < .001***
PEOU.PEOU4               |                 PUI.PUI1 |  0.42 | [ 0.34,  0.49] | 10.11 | 477 | < .001***
PEOU.PEOU4               |                 PUI.PUI2 |  0.47 | [ 0.39,  0.53] | 11.52 | 477 | < .001***
PEOU.PEOU4               |                 PUI.PUI3 |  0.46 | [ 0.39,  0.53] | 11.41 | 477 | < .001***
PEOU.PEOU4               |                 PUI.PUI4 |  0.51 | [ 0.44,  0.57] | 12.84 | 477 | < .001***
PEOU.PEOU4               |                 PUI.PUI5 |  0.44 | [ 0.36,  0.51] | 10.66 | 477 | < .001***
PEOU.PEOU4               |                 PUI.PUI6 |  0.33 | [ 0.25,  0.41] |  7.66 | 477 | < .001***
PEOU.PEOU4               |                 PUI.PUI7 |  0.41 | [ 0.33,  0.48] |  9.73 | 477 | < .001***
PEOU.PEOU4               |                 PUI.PUI8 |  0.42 | [ 0.34,  0.49] | 10.09 | 477 | < .001***
PEOU.PEOU4               |                 TKR.TKR1 |  0.24 | [ 0.15,  0.32] |  5.42 | 477 | < .001***
PEOU.PEOU4               |                 TKR.TKR2 |  0.30 | [ 0.22,  0.38] |  6.92 | 477 | < .001***
PEOU.PEOU4               |                 TKR.TKR3 |  0.35 | [ 0.27,  0.43] |  8.15 | 477 | < .001***
PEOU.PEOU4               |                 TKR.TKR4 |  0.26 | [ 0.18,  0.35] |  5.99 | 477 | < .001***
PEOU.PEOU4               |                 WEI.WEI1 |  0.42 | [ 0.34,  0.49] | 10.06 | 477 | < .001***
PEOU.PEOU4               |                 WEI.WEI2 |  0.47 | [ 0.40,  0.54] | 11.64 | 477 | < .001***
PEOU.PEOU4               |                 WEI.WEI3 |  0.38 | [ 0.30,  0.45] |  8.98 | 477 | < .001***
PEOU.PEOU4               |                 WEI.WEI4 |  0.38 | [ 0.30,  0.46] |  9.08 | 477 | < .001***
PEOU.PEOU4               |                 WEI.WEI5 |  0.39 | [ 0.31,  0.46] |  9.22 | 477 | < .001***
PEOU.PEOU4               |                 WEI.WEI6 |  0.44 | [ 0.36,  0.51] | 10.60 | 477 | < .001***
PEOU.PEOU4               |                 WEI.WEI7 |  0.38 | [ 0.30,  0.46] |  9.03 | 477 | < .001***
PEOU.PEOU4               |                 WEI.WEI8 |  0.44 | [ 0.37,  0.51] | 10.74 | 477 | < .001***
PEOU.PEOU4               |            WORKPACE.SQ01 |  0.26 | [ 0.17,  0.34] |  5.80 | 475 | < .001***
PEOU.PEOU4               |                 AUTONOMY |  0.23 | [ 0.14,  0.31] |  5.08 | 475 | 0.003**  
PEOU.PEOU5               |               PEOU.PEOU6 |  0.51 | [ 0.44,  0.58] | 13.01 | 477 | < .001***
PEOU.PEOU5               |                 VIS.VIS1 |  0.32 | [ 0.24,  0.40] |  7.43 | 477 | < .001***
PEOU.PEOU5               |                 VIS.VIS2 |  0.34 | [ 0.25,  0.41] |  7.77 | 477 | < .001***
PEOU.PEOU5               |                 VIS.VIS3 |  0.29 | [ 0.21,  0.37] |  6.73 | 477 | < .001***
PEOU.PEOU5               |                 VOI.VOI4 |  0.22 | [ 0.13,  0.30] |  4.85 | 477 | 0.010**  
PEOU.PEOU5               |                 PUA.PUA1 |  0.36 | [ 0.28,  0.44] |  8.48 | 477 | < .001***
PEOU.PEOU5               |                 PUA.PUA2 |  0.34 | [ 0.25,  0.41] |  7.81 | 477 | < .001***
PEOU.PEOU5               |                 PUA.PUA3 |  0.40 | [ 0.32,  0.47] |  9.57 | 477 | < .001***
PEOU.PEOU5               |                 PUA.PUA4 |  0.35 | [ 0.27,  0.42] |  8.06 | 477 | < .001***
PEOU.PEOU5               |                 PUA.PUA5 |  0.30 | [ 0.21,  0.37] |  6.75 | 477 | < .001***
PEOU.PEOU5               |                 PUA.PUA6 |  0.34 | [ 0.25,  0.41] |  7.81 | 477 | < .001***
PEOU.PEOU5               |                 PUA.PUA7 |  0.29 | [ 0.20,  0.37] |  6.51 | 477 | < .001***
PEOU.PEOU5               |                 PUA.PUA8 |  0.43 | [ 0.35,  0.50] | 10.36 | 477 | < .001***
PEOU.PEOU5               |                 RES.RES1 |  0.29 | [ 0.21,  0.37] |  6.73 | 477 | < .001***
PEOU.PEOU5               |                 RES.RES2 |  0.26 | [ 0.18,  0.34] |  5.95 | 477 | < .001***
PEOU.PEOU5               |                 RES.RES3 |  0.32 | [ 0.23,  0.40] |  7.30 | 477 | < .001***
PEOU.PEOU5               |                 SQR.SQR1 |  0.23 | [ 0.14,  0.31] |  5.10 | 477 | 0.003**  
PEOU.PEOU5               |                 SQR.SQR2 |  0.22 | [ 0.14,  0.31] |  5.02 | 477 | 0.004**  
PEOU.PEOU5               |                 SQR.SQR3 |  0.21 | [ 0.12,  0.29] |  4.62 | 477 | 0.028*   
PEOU.PEOU5               |                   LS.LS1 |  0.33 | [ 0.24,  0.40] |  7.53 | 477 | < .001***
PEOU.PEOU5               |                   LS.LS2 |  0.29 | [ 0.21,  0.37] |  6.74 | 477 | < .001***
PEOU.PEOU5               |                   LS.LS3 |  0.30 | [ 0.21,  0.38] |  6.84 | 477 | < .001***
PEOU.PEOU5               |                   LS.LS4 |  0.34 | [ 0.26,  0.42] |  7.92 | 477 | < .001***
PEOU.PEOU5               |                   LS.LS5 |  0.37 | [ 0.29,  0.44] |  8.61 | 477 | < .001***
PEOU.PEOU5               |                   LS.LS6 |  0.34 | [ 0.26,  0.42] |  7.95 | 477 | < .001***
PEOU.PEOU5               |                   LS.LS7 |  0.34 | [ 0.26,  0.42] |  7.95 | 477 | < .001***
PEOU.PEOU5               |                   LS.LS8 |  0.36 | [ 0.28,  0.44] |  8.55 | 477 | < .001***
PEOU.PEOU5               |                 PPC.PPC1 |  0.33 | [ 0.25,  0.41] |  7.65 | 477 | < .001***
PEOU.PEOU5               |                 PPC.PPC2 |  0.40 | [ 0.32,  0.47] |  9.42 | 477 | < .001***
PEOU.PEOU5               |                 PPC.PPC3 |  0.32 | [ 0.24,  0.40] |  7.36 | 477 | < .001***
PEOU.PEOU5               |                 PPC.PPC4 |  0.41 | [ 0.33,  0.48] |  9.85 | 477 | < .001***
PEOU.PEOU5               |                 PPC.PPC5 |  0.42 | [ 0.34,  0.49] | 10.11 | 477 | < .001***
PEOU.PEOU5               |                 PPC.PPC6 |  0.38 | [ 0.30,  0.45] |  8.97 | 477 | < .001***
PEOU.PEOU5               |                   PS.PS1 |  0.35 | [ 0.27,  0.43] |  8.13 | 477 | < .001***
PEOU.PEOU5               |                   PS.PS2 |  0.37 | [ 0.29,  0.44] |  8.68 | 477 | < .001***
PEOU.PEOU5               |                   PS.PS3 |  0.36 | [ 0.28,  0.44] |  8.42 | 477 | < .001***
PEOU.PEOU5               |                   PS.PS4 |  0.33 | [ 0.24,  0.41] |  7.57 | 477 | < .001***
PEOU.PEOU5               |                   PS.PS5 |  0.34 | [ 0.26,  0.42] |  7.86 | 477 | < .001***
PEOU.PEOU5               |                   PS.PS6 |  0.33 | [ 0.24,  0.40] |  7.52 | 477 | < .001***
PEOU.PEOU5               |                   PS.PS7 |  0.31 | [ 0.23,  0.39] |  7.23 | 477 | < .001***
PEOU.PEOU5               |                   PS.PS8 |  0.30 | [ 0.22,  0.38] |  6.98 | 477 | < .001***
PEOU.PEOU5               |                   PS.PS9 |  0.38 | [ 0.30,  0.45] |  8.91 | 477 | < .001***
PEOU.PEOU5               |                  PS.PS10 |  0.35 | [ 0.27,  0.43] |  8.27 | 477 | < .001***
PEOU.PEOU5               |                  PS.PS11 |  0.34 | [ 0.26,  0.42] |  7.94 | 477 | < .001***
PEOU.PEOU5               |                 PUI.PUI1 |  0.36 | [ 0.28,  0.44] |  8.51 | 477 | < .001***
PEOU.PEOU5               |                 PUI.PUI2 |  0.38 | [ 0.31,  0.46] |  9.09 | 477 | < .001***
PEOU.PEOU5               |                 PUI.PUI3 |  0.38 | [ 0.30,  0.46] |  9.06 | 477 | < .001***
PEOU.PEOU5               |                 PUI.PUI4 |  0.37 | [ 0.29,  0.44] |  8.65 | 477 | < .001***
PEOU.PEOU5               |                 PUI.PUI5 |  0.34 | [ 0.26,  0.42] |  7.85 | 477 | < .001***
PEOU.PEOU5               |                 PUI.PUI6 |  0.32 | [ 0.24,  0.40] |  7.50 | 477 | < .001***
PEOU.PEOU5               |                 PUI.PUI7 |  0.36 | [ 0.28,  0.44] |  8.41 | 477 | < .001***
PEOU.PEOU5               |                 PUI.PUI8 |  0.37 | [ 0.29,  0.45] |  8.75 | 477 | < .001***
PEOU.PEOU5               |                 TKR.TKR1 |  0.29 | [ 0.20,  0.37] |  6.55 | 477 | < .001***
PEOU.PEOU5               |                 TKR.TKR2 |  0.31 | [ 0.23,  0.39] |  7.14 | 477 | < .001***
PEOU.PEOU5               |                 TKR.TKR3 |  0.38 | [ 0.30,  0.46] |  9.00 | 477 | < .001***
PEOU.PEOU5               |                 TKR.TKR4 |  0.26 | [ 0.18,  0.35] |  5.97 | 477 | < .001***
PEOU.PEOU5               |                 WEI.WEI1 |  0.31 | [ 0.22,  0.39] |  7.02 | 477 | < .001***
PEOU.PEOU5               |                 WEI.WEI2 |  0.40 | [ 0.33,  0.48] |  9.62 | 477 | < .001***
PEOU.PEOU5               |                 WEI.WEI3 |  0.29 | [ 0.21,  0.37] |  6.74 | 477 | < .001***
PEOU.PEOU5               |                 WEI.WEI4 |  0.28 | [ 0.19,  0.36] |  6.35 | 477 | < .001***
PEOU.PEOU5               |                 WEI.WEI5 |  0.38 | [ 0.31,  0.46] |  9.10 | 477 | < .001***
PEOU.PEOU5               |                 WEI.WEI6 |  0.30 | [ 0.22,  0.38] |  6.86 | 477 | < .001***
PEOU.PEOU5               |                 WEI.WEI7 |  0.36 | [ 0.28,  0.43] |  8.36 | 477 | < .001***
PEOU.PEOU5               |                 WEI.WEI8 |  0.35 | [ 0.27,  0.43] |  8.15 | 477 | < .001***
PEOU.PEOU5               |                MEASURES2 |  0.28 | [ 0.16,  0.39] |  4.58 | 248 | 0.042*   
PEOU.PEOU6               |                 VIS.VIS1 |  0.32 | [ 0.24,  0.40] |  7.33 | 477 | < .001***
PEOU.PEOU6               |                 VIS.VIS2 |  0.34 | [ 0.26,  0.42] |  7.88 | 477 | < .001***
PEOU.PEOU6               |                 VIS.VIS3 |  0.35 | [ 0.26,  0.42] |  8.03 | 477 | < .001***
PEOU.PEOU6               |                 VOI.VOI1 |  0.21 | [ 0.12,  0.29] |  4.59 | 477 | 0.034*   
PEOU.PEOU6               |                 VOI.VOI4 |  0.27 | [ 0.18,  0.35] |  6.07 | 477 | < .001***
PEOU.PEOU6               |                 PUA.PUA1 |  0.43 | [ 0.36,  0.50] | 10.45 | 477 | < .001***
PEOU.PEOU6               |                 PUA.PUA2 |  0.44 | [ 0.37,  0.51] | 10.73 | 477 | < .001***
PEOU.PEOU6               |                 PUA.PUA3 |  0.50 | [ 0.43,  0.56] | 12.48 | 477 | < .001***
PEOU.PEOU6               |                 PUA.PUA4 |  0.44 | [ 0.36,  0.51] | 10.67 | 477 | < .001***
PEOU.PEOU6               |                 PUA.PUA5 |  0.49 | [ 0.42,  0.55] | 12.26 | 477 | < .001***
PEOU.PEOU6               |                 PUA.PUA6 |  0.36 | [ 0.28,  0.44] |  8.54 | 477 | < .001***
