                         vars   n     mean       sd   median  trimmed      mad      min      max    range  skew kurtosis       se
SR.SR1                     37 479 4.06e+00 1.86e+00 4.00e+00 4.08e+00 2.97e+00 1.00e+00 7.00e+00 6.00e+00 -0.12    -1.10 8.00e-02
SR.SR2                     38 479 3.93e+00 1.90e+00 4.00e+00 3.92e+00 2.97e+00 1.00e+00 7.00e+00 6.00e+00  0.08    -1.20 9.00e-02
SR.SR3                     39 479 4.15e+00 1.86e+00 4.00e+00 4.19e+00 2.97e+00 1.00e+00 7.00e+00 6.00e+00 -0.16    -1.13 8.00e-02
SR.SR4                     40 479 4.16e+00 1.85e+00 4.00e+00 4.18e+00 2.97e+00 1.00e+00 7.00e+00 6.00e+00 -0.10    -1.12 8.00e-02
LS.LS1                     41 479 5.60e+00 1.23e+00 6.00e+00 5.73e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.95     0.88 6.00e-02
LS.LS2                     42 479 5.26e+00 1.35e+00 5.00e+00 5.38e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.66    -0.20 6.00e-02
LS.LS3                     43 479 5.18e+00 1.38e+00 5.00e+00 5.29e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.64     0.06 6.00e-02
LS.LS4                     44 479 5.33e+00 1.35e+00 6.00e+00 5.46e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.78     0.33 6.00e-02
LS.LS5                     45 479 5.36e+00 1.35e+00 6.00e+00 5.50e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.82     0.29 6.00e-02
LS.LS6                     46 479 5.37e+00 1.36e+00 6.00e+00 5.51e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.76     0.18 6.00e-02
LS.LS7                     47 479 5.23e+00 1.30e+00 5.00e+00 5.31e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.56     0.03 6.00e-02
LS.LS8                     48 479 5.31e+00 1.34e+00 5.00e+00 5.44e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.75     0.23 6.00e-02
PPC.PPC1                   49 479 5.35e+00 1.30e+00 5.00e+00 5.46e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.73     0.33 6.00e-02
PPC.PPC2                   50 479 5.20e+00 1.40e+00 5.00e+00 5.31e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.64    -0.15 6.00e-02
