outer loadings
                IoIT       EoA       EoI       IMG      PEOU       VIS       VOI       PUA       RES       SQR        LS       PPC        PS       TKR       WEI
SQR.SQR1   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.8480151 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
SQR.SQR2   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.8603999 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
SQR.SQR3   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.8157073 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS1     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.7374200 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS2     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.7141060 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS3     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.7459363 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS4     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.7930894 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS5     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.7810426 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS6     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.7974627 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS7     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.7434719 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS8     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.8058044 0.0000000 0.0000000 0.0000000 0.0000000
PPC.PPC1   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.8115719 0.0000000 0.0000000 0.0000000
PPC.PPC2   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.7168614 0.0000000 0.0000000 0.0000000
PPC.PPC3   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.7586608 0.0000000 0.0000000 0.0000000
PPC.PPC4   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.8162482 0.0000000 0.0000000 0.0000000
