            IoIT   EoA   EoI    IMG  PEOU   VIS   VOI   PUA   RES   SQR     SR    LS   PPC    PS   PUI   TKR   WEI
PS.PS11    0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.785 0.000 0.000 0.000
PUI.PUI1   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.839 0.000 0.000
PUI.PUI2   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.833 0.000 0.000
PUI.PUI3   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.834 0.000 0.000
PUI.PUI4   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.000 0.000 0.000 0.000 0.787 0.000 0.000
PUI.PUI5   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.833 0.000 0.000
PUI.PUI6   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.556 0.000 0.000
PUI.PUI7   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.831 0.000 0.000
PUI.PUI8   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.804 0.000 0.000
TKR.TKR1   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.841 0.000
TKR.TKR2   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.854 0.000
TKR.TKR3   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.825 0.000
TKR.TKR4   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.826 0.000
WEI.WEI1   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.771
WEI.WEI2   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.765
WEI.WEI3   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.779
WEI.WEI4   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.791
WEI.WEI5   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.807
WEI.WEI6   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.756
WEI.WEI7   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.785
WEI.WEI8   0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.817
