outer loadings
            IoIT   EoA   EoI   IMG  PEOU   VIS    VOI   PUA   RES   SQR    SR    LS   PPC    PS   PUI   TKR   WEI
RES.RES3   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.807 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
RES.RES4   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.176 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR1   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.831 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR2   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.838 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR3   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.806 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR4   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.423 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR1     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.902 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR2     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.868 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR3     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.906 0.000 0.000 0.000 0.000 0.000 0.000
SR.SR4     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.900 0.000 0.000 0.000 0.000 0.000 0.000
LS.LS1     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.736 0.000 0.000 0.000 0.000 0.000
LS.LS2     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.715 0.000 0.000 0.000 0.000 0.000
LS.LS3     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.747 0.000 0.000 0.000 0.000 0.000
LS.LS4     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.793 0.000 0.000 0.000 0.000 0.000
LS.LS5     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.781 0.000 0.000 0.000 0.000 0.000
LS.LS6     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.797 0.000 0.000 0.000 0.000 0.000
LS.LS7     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.744 0.000 0.000 0.000 0.000 0.000
LS.LS8     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.806 0.000 0.000 0.000 0.000 0.000
PPC.PPC1   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.812 0.000 0.000 0.000 0.000
PPC.PPC2   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.717 0.000 0.000 0.000 0.000
PPC.PPC3   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.759 0.000 0.000 0.000 0.000
PPC.PPC4   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.816 0.000 0.000 0.000 0.000
PPC.PPC5   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.742 0.000 0.000 0.000 0.000
PPC.PPC6   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.808 0.000 0.000 0.000 0.000
PS.PS1     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.830 0.000 0.000 0.000
PS.PS2     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.821 0.000 0.000 0.000
PS.PS3     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.834 0.000 0.000 0.000
PS.PS4     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.783 0.000 0.000 0.000
PS.PS5     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.784 0.000 0.000 0.000
PS.PS6     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.786 0.000 0.000 0.000
PS.PS7     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.813 0.000 0.000 0.000
PS.PS8     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.779 0.000 0.000 0.000
PS.PS9     0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.812 0.000 0.000 0.000
PS.PS10    0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.762 0.000 0.000 0.000
PS.PS11    0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.785 0.000 0.000 0.000
PUI.PUI1   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.839 0.000 0.000
PUI.PUI2   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.833 0.000 0.000
PUI.PUI3   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.834 0.000 0.000
PUI.PUI4   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.787 0.000 0.000
PUI.PUI5   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.833 0.000 0.000
PUI.PUI6   0.000 0.000 0.000 0.000 0.000 0.000 0.0000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.556 0.000 0.000
