indicator loadings (>.708)
            IoIT   EoA   EoI   IMG   PEOU   VIS   VOI   PUA   RES   SQR     SR    LS   PPC    PS   PUI   TKR   WEI
PPC.PPC2   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.722 0.000 0.000 0.000 0.000
PPC.PPC3   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.759 0.000 0.000 0.000 0.000
PPC.PPC4   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.793 0.000 0.000 0.000 0.000
PPC.PPC5   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.742 0.000 0.000 0.000 0.000
PPC.PPC6   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.784 0.000 0.000 0.000 0.000
PS.PS1     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.813 0.000 0.000 0.000
PS.PS2     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.810 0.000 0.000 0.000
PS.PS3     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.810 0.000 0.000 0.000
PS.PS4     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.774 0.000 0.000 0.000
PS.PS5     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.793 0.000 0.000 0.000
PS.PS6     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.778 0.000 0.000 0.000
PS.PS7     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.803 0.000 0.000 0.000
PS.PS8     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.775 0.000 0.000 0.000
PS.PS9     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.810 0.000 0.000 0.000
PS.PS10    0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.734 0.000 0.000 0.000
PS.PS11    0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.781 0.000 0.000 0.000
PUI.PUI1   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.824 0.000 0.000
PUI.PUI2   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.811 0.000 0.000
PUI.PUI3   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.839 0.000 0.000
PUI.PUI4   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 -0.000 0.000 0.000 0.000 0.790 0.000 0.000
PUI.PUI5   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.809 0.000 0.000
PUI.PUI7   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.803 0.000 0.000
PUI.PUI8   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.816 0.000 0.000
TKR.TKR1   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.828 0.000
